sep=;
Location Coordinate;Feature Extent;Name of the School;Suburb;Postcode;Latitude Coordinate;Longitude Coordinate;Projection;Council Ward;Location ID;Google Maps Direction;Primary School Website;Secondary School Website;School Address;Telephone Number/s;Administration  Hours;Primary School Email Address;Secondary School Email Address;Type of School;Easting Coordinate;Northing Coordinate
-38.070916907, 145.337745863;"{""coordinates"": [145.337745863, -38.070916907], ""type"": ""Point""}";St Francis Xavier College;BERWICK;3806;-38.07091690701332;145.337745863027;MGA2020 zone 55;EDRINGTON;9;https://www.google.com.au/maps/dir//-38.07091690701332,145.337745863027/@your+location,17z/data=!4m2!4m1!3e0;www.sfx.vic.edu.au;www.sfx.vic.edu.au;75 Ridgemont Drive Berwick 3806;03 9702 6588;Monday - Friday: 8AM - 5PM;berwick@sfx.vic.edu.au;info@sfx.vic.edu.au;Primary & Secondary;354194;5785012
-38.0310969106, 145.363095859;"{""coordinates"": [145.363095859, -38.0310969106], ""type"": ""Point""}";Berwick Secondary College;BERWICK;3806;-38.03109691063126;145.36309585898437;MGA2020 zone 55;EDRINGTON;16;https://www.google.com.au/maps/dir//-38.03109691063126,145.36309585898437/@your+location,17z/data=!4m2!4m1!3e0;;www.berwickcollege.vic.edu.au;Manuka Road Berwick 3806;03 8768 1000;Monday - Friday: 8:15AM - 4PM;;berwick.sc@edumail.vic.gov.au;Secondary;356340;5789470
-38.1083269012, 145.2572958679;"{""coordinates"": [145.2572958679, -38.1083269012], ""type"": ""Point""}";St Peter's College;CRANBOURNE WEST;3977;-38.108326901196236;145.25729586793778;MGA2020 zone 55;MAYFIELD;18;https://www.google.com.au/maps/dir//-38.108326901196236,145.25729586793778/@your+location,17z/data=!4m2!4m1!3e0;;www.stpeters.vic.edu.au;Cranbourne-Frankston Road Cranbourne 3977;03 5990 7777;Monday - Friday: 8AM - 4:30PM;;office@stpeters.vic.edu.au;Secondary;347214;5780731
-38.1047469058, 145.3043558734;"{""coordinates"": [145.3043558734, -38.1047469058], ""type"": ""Point""}";Cranbourne East Secondary School;CRANBOURNE EAST;3977;-38.10474690582432;145.30435587338297;MGA2020 zone 55;MAYFIELD;19;https://www.google.com.au/maps/dir//-38.10474690582432,145.30435587338297/@your+location,17z/data=!4m2!4m1!3e0;;www.cesc.vic.edu.au;50 Stately Drive Cranbourne East 3977;03 5990 0400;Monday - Friday: 8AM - 4PM;;cranbourne.east.sc@edumail.vic.gov.au;Secondary;351333;5781205
-38.0161269046, 145.3207558821;"{""coordinates"": [145.3207558821, -38.0161269046], ""type"": ""Point""}";Timbarra P-9 College;BERWICK;3806;-38.01612690458833;145.32075588206774;MGA2020 zone 55;EDRINGTON;4;https://www.google.com.au/maps/dir//-38.01612690458833,145.32075588206774/@your+location,17z/data=!4m2!4m1!3e0;www.timbarraps.vic.edu.au/primary/home.html;www.timbarraps.vic.edu.au;159-197 Parkhill Drive Berwick 3806;03 9704 2744;Monday - Friday: 8:30AM - 4:30PM;timbarra.p9@edumail.vic.gov.au;timbarra.p9@edumail.vic.gov.au;Primary & Secondary;352593;5791065
-38.0505269064, 145.3171058822;"{""coordinates"": [145.3171058822, -38.0505269064], ""type"": ""Point""}";Heritage College;NARRE WARREN SOUTH;3805;-38.05052690635325;145.31710588221023;MGA2020 zone 55;SPRINGFIELD;5;https://www.google.com.au/maps/dir//-38.05052690635325,145.31710588221023/@your+location,17z/data=!4m2!4m1!3e0;www.heritagecollege.com.au;www.heritagecollege.com.au;333 Centre Road Narre Warren South 3805;03 9796 0100;Monday - Thursday: 8:30AM - 4:30PM   Friday: 8:30AM - 3PM;admin@heritagecollege.com.au;admin@heritagecollege.com.au;Primary & Secondary;352342;5787242
-38.0486669091, 145.3560358608;"{""coordinates"": [145.3560358608, -38.0486669091], ""type"": ""Point""}";Beaconhills Christian College;BERWICK;3806;-38.04866690914835;145.35603586081018;MGA2020 zone 55;EDRINGTON;7;https://www.google.com.au/maps/dir//-38.04866690914835,145.35603586081018/@your+location,17z/data=!4m2!4m1!3e0;www.beaconhills.vic.edu.au;www.beaconhills.vic.edu.au;92 Kangan Drive Berwick VIC 3806;1300 002 225;Monday - Friday: 8AM - 4:30PM;enquiries@beaconhills.vic.edu.au;enquiries@beaconhills.vic.edu.au;Primary & Secondary;355754;5787509
-38.0842138009, 145.3642999723;"{""coordinates"": [145.3642999723, -38.0842138009], ""type"": ""Point""}";Hillcrest Christian College;CLYDE NORTH;3978;-38.0842138008565;145.36429997228868;MGA2020 zone 55;EDRINGTON;11;https://www.google.com.au/maps/dir//-38.0842138008565,145.36429997228868/@your+location,17z/data=!4m2!4m1!3e0;www.hillcrest.vic.edu.au;www.hillcrest.vic.edu.au;500 Soldiers Road Cylde North 3978;03 9702 2144;Monday - Friday: 8:30AM - 4:30PM;admin@hillcrest.vic.edu.au;reception@hillcrest.vic.edu.au;Primary & Secondary;356549;5783578
-37.9734569054, 145.2752058774;"{""coordinates"": [145.2752058774, -37.9734569054], ""type"": ""Point""}";Gleneagles Secondary College;ENDEAVOUR HILLS;3802;-37.973456905391224;145.27520587740364;MGA2020 zone 55;FOUR OAKS;4;https://www.google.com.au/maps/dir//-37.973456905391224,145.27520587740364/@your+location,17z/data=!4m2!4m1!3e0;;www.gleneagles.vic.edu.au;58 Reema Boulevard Endeavour Hills 3802;03 9708 1319;Monday - Friday: 8AM - 4:30PM;;gleneagles.sc@edumail.vic.gov.au;Secondary;348507;5795726
-38.0362269029, 145.2590058903;"{""coordinates"": [145.2590058903, -38.0362269029], ""type"": ""Point""}";Hampton Park Secondary College;HAMPTON PARK;3976;-38.03622690285161;145.25900589029862;MGA2020 zone 55;RIVER GUM;5;https://www.google.com.au/maps/dir//-38.03622690285161,145.25900589029862/@your+location,17z/data=!4m2!4m1!3e0;;www.hpsc.vic.edu.au;58 - 96 Fordholm Road Hampton Park 3976;03 8795 9400;Monday - Thursday: 8:15AM - 4:30PM     Friday: 8:15AM - 4PM;;hampton.park.sc@edumail.vic.gov.au;Secondary;347214;5788734
-38.0059169049, 145.2951358652;"{""coordinates"": [145.2951358652, -38.0059169049], ""type"": ""Point""}";Fountain Gate Secondary College;NARRE WARREN;3805;-38.005916904914635;145.29513586517783;MGA2020 zone 55;SPRINGFIELD;6;https://www.google.com.au/maps/dir//-38.005916904914635,145.29513586517783/@your+location,17z/data=!4m2!4m1!3e0;;www.fountaingatesc.vic.edu.au;45 Josephine Avenue Narre Warren 3805;03 8762 6839;Monday - Friday: 8:15AM - 4:20PM;;fountain.gate.sc@edumail.vic.gov.au;Secondary;350324;5792157
-38.0534569068, 145.346255871;"{""coordinates"": [145.346255871, -38.0534569068], ""type"": ""Point""}";Kambrya College;BERWICK;3806;-38.05345690675736;145.34625587100572;MGA2020 zone 55;EDRINGTON;12;https://www.google.com.au/maps/dir//-38.05345690675736,145.34625587100572/@your+location,17z/data=!4m2!4m1!3e0;;www.kambryacollege.com;68 Bemersyde Drive Berwick 3806;03 9707 7600;Monday - Friday: 8:30AM - 4:30PM;;kambrya.co@edumail.vic.gov.au;Secondary;354906;5786962
-38.074906905, 145.2694158789;"{""coordinates"": [145.2694158789, -38.074906905], ""type"": ""Point""}";Lyndhurst Secondary College;CRANBOURNE NORTH;3977;-38.07490690496897;145.26941587893438;MGA2020 zone 55;MAYFIELD;17;https://www.google.com.au/maps/dir//-38.07490690496897,145.26941587893438/@your+location,17z/data=!4m2!4m1!3e0;;www.lyndhurst.vic.edu.au;950 South Gippsland Highway Cranbourne 3977;03 5996 0144;Monday - Friday: 8AM - 4PM;;lyndhurst.sc@edumail.vic.gov.au;Secondary;348208;5784459
-38.1062219545, 145.2465221764;"{""coordinates"": [145.2465221764, -38.1062219545], ""type"": ""Point""}";Cranbourne West Secondary College;CRANBOURNE WEST;3977;-38.106221954539315;145.24652217637959;MGA2020 zone 55;MAYFIELD;22;https://www.google.com.au/maps/dir//-38.106221954539315,145.24652217637959/@your+location,17z/data=!4m2!4m1!3e0;;https://www.cwsc.vic.edu.au/;80 Strathlea Drive, Cranbourne West  3977;9770 7200;;;cranbourne.west.sc@education.vic.gov.au;Secondary;346265;5780947
